Animal ID,Type,Animal Name,Breed,Outgoing Date,Outgoing Status,Source,Source Date,Passed for Rehoming,Date Spay/Neutered,Days In Care,Surrender Reason,Primary Euthanasia Reason,
109183,Puppy,Capone,Pit Bull,09/03/2017,Euthanized,Euthanasia Request,09/03/2017,,,0,,Owner request -1,
105480,Dog,Choco,Small Mix Breed,09/03/2017,Adopted,Returns,08/13/2017,Yes,06/07/2017,21,,,
73376,Dog,Scooby,Medium Mix Breed,09/03/2017,Reclaimed,ACO Impound,09/01/2017,,,2,,,
109200,Dog,Benny,Mini Pinscher,09/03/2017,Euthanized,Euthanasia Request,09/03/2017,,,0,,Owner request -1,
108786,Dog,Gotti,Pit Bull,09/03/2017,Adopted,ACO Impound,08/23/2017,Yes,08/28/2017,11,,,
108421,Dog,Peggy,Large Mix Breed,09/03/2017,Adopted,ACO Impound,08/15/2017,Yes,08/23/2017,19,,,
109203,Dog,Bang,Pit Bull,09/03/2017,Seized Release,ACO Impound,09/03/2017,,,0,,,
109177,Dog,Money,Pit Bull,09/03/2017,Reclaimed,ACO Impound,09/03/2017,,,0,,,
109051,Dog,,Pit Bull,09/03/2017,Euthanized,ACO Impound,08/30/2017,No,,4,,Aggressive towards animals-6,
109031,Dog,Behave Check,Medium Mix Breed,09/03/2017,Euthanized,ACO Impound,08/29/2017,,,5,,Aggressive towards people-6,
109103,Dog,,Doberman,09/03/2017,Euthanized,ACO Impound,08/31/2017,,,3,,Untreatable Terminal Illness-5,
109175,Dog,Sammy,Medium Mix Breed,09/03/2017,Euthanized,ACO Impound,09/03/2017,,,0,,Untreatable Terminal Injury-5,
109207,Dog,Ranger,Medium Mix Breed,09/03/2017,Euthanized,Euthanasia Request,09/03/2017,,,0,,Owner request -1,
109211,Dog,Nala,Presa Canario,09/03/2017,Seized Release,ACO Impound,09/03/2017,,,0,,,
109210,Dog,,Long Hair Chihuahua,09/03/2017,Euthanized,Stray,09/03/2017,,,0,,Untreatable Terminal Illness-5,
109219,Dog,Chica,Pit Bull,09/04/2017,Seized Release,ACO Impound,09/04/2017,,,0,,,
109220,Dog,Paint,Terrier,09/04/2017,Seized Release,ACO Impound,09/04/2017,,,0,,,
109176,Dog,Buckeye,Poodle Standard,09/04/2017,Seized Release,ACO Impound,09/03/2017,,,1,,,
109221,Dog,Brewster,Shih Tzu,09/04/2017,Seized Release,ACO Impound,09/04/2017,,,0,,,
108994,Dog,Angelique - Rescue Committed,Beagle,09/05/2017,Transfer Out,ACO Impound,08/29/2017,,,7,,,
108652,Dog,Scotty,Cairn Terrier,09/05/2017,Adopted,ACO Impound,08/20/2017,Yes,08/28/2017,16,,,
108416,Dog,Gage,Pit Bull,09/05/2017,Adopted,ACO Impound,08/15/2017,,08/21/2017,21,,History of biting-6,
108479,Dog,Amanda,Pit Bull,09/05/2017,Adopted,ACO Impound,08/16/2017,Yes,08/30/2017,20,,Failure to pass behavior evaluation-6,
96454,Dog,Minnie,Pit Bull,09/05/2017,Adopted,Returns,08/08/2017,Yes,09/28/2016,28,Behavior towards other animals,,
108710,Dog,Angel- Rescue Committed,Small Terrier Mix,09/05/2017,Transfer Out,ACO Impound,08/22/2017,,,14,,,
108607,Puppy,Daphne,Medium Mix Breed,09/05/2017,Adopted,ACO Impound,08/19/2017,Yes,08/25/2017,17,,,
104151,Dog,Luna,Coonhound,09/05/2017,Transfer Out,Returns,09/03/2017,Yes,,2,No Space for Animal,,
109075,Dog,,Small Terrier Mix,09/05/2017,Transfer Out,ACO Impound,08/30/2017,Yes,,6,,,
109080,Dog,,Small Mix Breed,09/05/2017,Transfer Out,ACO Impound,08/31/2017,Yes,,5,,,
109081,Puppy,,Pit Bull,09/05/2017,Transfer Out,ACO Impound,08/31/2017,Yes,,5,,,
109161,Dog,Birdie,Australian Cattledog,09/05/2017,Transfer Out,Owner Surrender,09/02/2017,,,3,Landlord won't allow,,
109134,Dog,Yuma,Siberian Husky,09/05/2017,Reclaimed,ACO Impound,09/01/2017,,,4,,,
108964,Dog,Jane,Hound,09/05/2017,Adopted,ACO Impound,08/28/2017,Yes,09/01/2017,8,,,
109198,Dog,Sascha,Bichon Frise,09/05/2017,Reclaimed,Stray,09/03/2017,,,2,,,
109174,Dog,Bruno,Pit Bull,09/05/2017,Reclaimed,ACO Impound,09/03/2017,,,2,,,
108948,Dog,Theodore,Small Terrier Mix,09/05/2017,Adopted,Stray,08/27/2017,Yes,,9,,,
109235,Dog,Amp,Beagle,09/05/2017,Reclaimed,ACO Impound,09/04/2017,,,1,,,
108177,Dog,Roxanne,Pit Bull,09/05/2017,Adopted,Returns,09/01/2017,Yes,08/14/2017,4,,,
95469,Dog,Paco,Pit Bull,09/05/2017,Adopted,Returns,08/11/2017,Yes,08/26/2016,25,MOVING,,
