Animal ID,Type,Animal Name,Breed,Outgoing Date,Outgoing Status,Source,Source Date,Passed for Rehoming,Date Spay/Neutered,Days In Care,Surrender Reason,Primary Euthanasia Reason
109987,Puppy,Piper,Small Mix Breed,10/04/2017,Adopted,ACO Impound,09/27/2017,Yes,10/02/2017,7,,
110194,Dog,Willie,Boxer,10/04/2017,Reclaimed,ACO Impound,10/04/2017,,,0,,
91254,Dog,Anna,Australian Shepherd,10/04/2017,Reclaimed,ACO Impound,10/04/2017,Yes,,0,Health of the caretaker -,
80725,Dog,Gomez,Labrador,10/04/2017,Adopted,Returns,09/27/2017,Yes,08/11/2015,7,,
110053,Dog,Rescue Committed,Shih Tzu,10/04/2017,Transfer Out,ACO Impound,09/29/2017,,,5,,
110064,Puppy,Rescue Committed - Go Slow,Small Mix Breed,10/04/2017,Transfer Out,Stray,09/30/2017,,10/04/2017,4,,
109474,Dog,Robby,Pit Bull,10/04/2017,Adopted,ACO Impound,09/11/2017,Yes,09/18/2017,23,,
109318,Dog,Marcus,Pit Bull,10/04/2017,Adopted,ACO Impound,09/06/2017,Yes,09/13/2017,28,,Rabies Testing-8
110155,Dog,Trixie,Small Terrier Mix,10/04/2017,Reclaimed,ACO Impound,10/03/2017,,,1,,
110002,Dog,Alden,Large Mix Breed,10/04/2017,Adopted,Stray,09/28/2017,Yes,10/02/2017,6,,
110226,Dog,Sandy,Medium Mix Breed,10/04/2017,Seized Release,ACO Impound,10/04/2017,,,0,,
110224,Dog,Murphy,"Dachshund, Long-haired",10/04/2017,Seized Release,ACO Impound,10/04/2017,,,0,,
110205,Dog,Destiny,Chihuahua,10/05/2017,Reclaimed,ACO Impound,10/04/2017,,,1,,
110049,Puppy,Onyx,Labrador Retriever,10/05/2017,Adopted,ACO Impound,09/29/2017,,10/04/2017,6,,
110038,Puppy,Kora,Akita,10/05/2017,Adopted,ACO Impound,09/29/2017,Yes,10/04/2017,6,,
110221,Dog,Frasier,Beagle,10/05/2017,Reclaimed,Stray,10/04/2017,,,1,,
110193,Dog,Zeus,Siberian Husky,10/05/2017,Reclaimed,ACO Impound,10/03/2017,,,2,,
109972,Dog,Bella - Must Be Pulled By 10/05,Large Mix Breed,10/05/2017,Reclaimed,ACO Impound,09/27/2017,Rescue,,8,,
